"","Event ID","StationName","Longitude","Latitude","Sampling depth [m]","Fraction","Raw seq.","Final seq.","Seq. proportions","Observed ASVs","Chao1 richness est.","Shannon Index","InvSimpson"
"1","PS107_10-4","T1",2.49,78.98,400,"FL",71203,55913,0.79,525,531,4.75,33.1
"2","PS107_10-4","T1",2.49,78.98,20,"PA",173274,121926,0.7,294,294,3.96,24.83
"3","PS107_10-4","T1",2.49,78.98,10,"FL",141169,102869,0.73,287,287,3.99,19.52
"4","PS107_10-4","T1",2.49,78.98,10,"PA",108207,59949,0.55,220,220,3.58,16.67
"5","PS107_12-3","T2",2.7,78.94,400,"PA",92343,45161,0.49,525,525,4.92,43.55
"6","PS107_12-3","T2",2.7,78.94,400,"FL",154220,125072,0.81,628,629,4.63,28.42
"7","PS107_12-3","T2",2.7,78.94,200,"PA",176095,94788,0.54,686,686.38,4.98,49.71
"8","PS107_12-3","T2",2.7,78.94,200,"FL",322338,245801,0.76,813,816,4.78,35.15
"9","PS107_12-3","T2",2.7,78.94,100,"PA",87928,38660,0.44,400,400,4.9,57.94
"10","PS107_12-3","T2",2.7,78.94,100,"FL",379401,304131,0.8,774,778,4.64,31.05
"11","PS107_12-3","T2",2.7,78.94,50,"PA",148818,74848,0.5,357,357,4.3,30.74
"12","PS107_10-4","T1",2.49,78.98,400,"PA",83761,35636,0.43,499,499,5.01,57.78
"13","PS107_12-3","T2",2.7,78.94,30,"FL",98129,79710,0.81,287,288,4.15,20.06
"14","PS107_12-3","T2",2.7,78.94,10,"PA",103829,72476,0.7,223,223,3.58,19.15
"15","PS107_12-3","T2",2.7,78.94,10,"FL",75407,62288,0.83,211,211,3.88,21.16
"16","PS107_14-1","T3",2.85,78.93,400,"PA",64624,29222,0.45,706,706,5.69,131.16
"17","PS107_14-1","T3",2.85,78.93,200,"PA",143062,84158,0.59,727,728.25,5.06,43.55
"18","PS107_14-1","T3",2.85,78.93,200,"FL",363103,292257,0.8,988,996.08,5.09,51.58
"19","PS107_14-1","T3",2.85,78.93,100,"PA",172075,97652,0.57,763,763.6,5.18,55.01
"20","PS107_14-1","T3",2.85,78.93,100,"FL",216524,169755,0.78,767,771.58,4.96,52.52
"21","PS107_14-1","T3",2.85,78.93,50,"PA",71409,33362,0.47,410,410,4.9,52.34
"22","PS107_14-1","T3",2.85,78.93,50,"FL",177664,136697,0.77,591,598.5,4.72,39.03
"23","PS107_10-4","T1",2.49,78.98,200,"FL",153650,122845,0.8,682,683.91,4.7,28.92
"24","PS107_14-1","T3",2.85,78.93,30,"PA",222696,148008,0.66,422,422,4.29,30.37
"25","PS107_14-1","T3",2.85,78.93,30,"FL",182294,147198,0.81,436,436,4.47,31.98
"26","PS107_14-1","T3",2.85,78.93,10,"PA",209517,151828,0.72,322,322.11,3.82,24.88
"27","PS107_14-1","T3",2.85,78.93,10,"FL",100666,82795,0.82,243,243.25,3.81,18.63
"28","PS107_16-3","T4",2.28,79,400,"PA",175486,75747,0.43,762,762.71,5.26,61
"29","PS107_16-3","T4",2.28,79,400,"FL",151611,107757,0.71,1062,1065.44,5.58,78.36
"30","PS107_16-3","T4",2.28,79,200,"PA",108186,59216,0.55,646,646.07,5.13,52.93
"31","PS107_16-3","T4",2.28,79,200,"FL",204141,160280,0.79,742,747,5.02,54.27
"32","PS107_16-3","T4",2.28,79,100,"PA",147244,89002,0.6,556,563,4.69,39.7
"33","PS107_16-3","T4",2.28,79,100,"FL",137098,109608,0.8,534,534.09,4.68,37.75
"34","PS107_10-4","T1",2.49,78.98,200,"PA",109903,52796,0.48,558,558.86,4.91,47.65
"35","PS107_16-3","T4",2.28,79,50,"PA",93819,52259,0.56,415,415.06,4.41,27.65
"36","PS107_16-3","T4",2.28,79,50,"FL",147260,118180,0.8,589,590.91,4.71,37.25
"37","PS107_16-3","T4",2.28,79,30,"PA",162419,74774,0.46,366,366,4.15,18.03
"38","PS107_16-3","T4",2.28,79,10,"PA",93544,62602,0.67,306,306,3.82,14.48
"39","PS107_16-3","T4",2.28,79,10,"FL",237414,191580,0.81,596,596,4.47,26.51
"40","PS107_18-3","T5",2.28,79,400,"FL",136160,93152,0.68,1135,1135.38,5.75,97.65
"41","PS107_18-3","T5",2.28,79,200,"PA",102505,30327,0.3,397,397.67,4.79,46.62
"42","PS107_18-3","T5",2.28,79,200,"FL",84972,64578,0.76,611,611.6,5.07,57.17
"43","PS107_18-3","T5",2.28,79,100,"PA",99325,65753,0.66,532,532.27,4.94,57.75
"44","PS107_18-3","T5",2.28,79,100,"FL",123934,96946,0.78,727,727.25,5.04,51.38
"45","PS107_10-4","T1",2.49,78.98,100,"FL",114076,94561,0.83,514,515.11,4.46,26.24
"46","PS107_18-3","T5",2.28,79,50,"PA",117607,84717,0.72,425,425.43,4.4,35.28
"47","PS107_18-3","T5",2.28,79,50,"FL",187551,149688,0.8,647,647.23,5,59.63
"48","PS107_18-3","T5",2.28,79,25,"PA",104480,77040,0.74,285,285,4.05,28.19
"49","PS107_18-3","T5",2.28,79,25,"FL",233238,195416,0.84,389,389,4.28,27.63
"50","PS107_18-3","T5",2.28,79,10,"PA",86817,38805,0.45,192,192,3.78,21.35
"51","PS107_18-3","T5",2.28,79,10,"FL",226624,184426,0.81,330,331,4.02,20.86
"52","PS107_12-3","T2",2.7,78.94,50,"FL",140559,111998,0.8,398,398.6,4.49,32.67
"53","PS107_14-1","T3",2.85,78.93,400,"FL",94934,49579,0.52,369,370,5.1,82.26
"54","PS107_16-3","T4",2.28,79,30,"FL",129009,104714,0.81,485,485,4.48,30.58
"55","PS107_18-3","T5",2.28,79,400,"PA",109013,66309,0.61,731,731.17,5.48,77.74
"56","PS107_10-4","T1",2.49,78.98,100,"PA",127079,102747,0.81,408,408,4.59,41.49
"57","PS107_10-4","T1",2.49,78.98,50,"FL",141139,107509,0.76,288,288.17,3.99,18.03
"58","PS107_10-4","T1",2.49,78.98,50,"PA",89309,50652,0.57,236,236,3.91,27.17
"59","PS107_10-4","T1",2.49,78.98,20,"FL",20223,16843,0.83,234,235,3.84,14.04
